"Rk","Team","Conf","Div","W","L","W/L%","MOV","ORtg","DRtg","NRtg","MOV/A","ORtg/A","DRtg/A","NRtg/A","season"
"1","San Antonio Spurs","W","SW","62","20",".756","7.72","111.09","102.93","8.16","7.99","110.98","102.53","8.45","2014"
"2","Los Angeles Clippers","W","P","57","25",".695","6.98","112.89","105.64","7.25","7.27","112.88","105.33","7.56","2014"
"3","Oklahoma City Thunder","W","NW","59","23",".720","6.34","111.32","104.60","6.71","6.65","111.29","104.26","7.04","2014"
"4","Golden State Warriors","W","P","51","31",".622","4.80","108.05","103.07","4.98","5.15","107.93","102.59","5.34","2014"
"5","Houston Rockets","W","SW","54","28",".659","4.56","111.72","107.07","4.65","5.06","111.82","106.65","5.17","2014"
"6","Miami Heat","E","SE","54","28",".659","4.76","112.13","106.75","5.38","4.15","112.15","107.42","4.73","2014"
"7","Portland Trail Blazers","W","NW","54","28",".659","3.99","112.03","107.80","4.22","4.43","112.17","107.49","4.68","2014"
"8","Indiana Pacers","E","C","56","26",".683","4.40","104.70","100.05","4.65","3.63","104.25","100.42","3.83","2014"
"9","Dallas Mavericks","W","SW","49","33",".598","2.40","111.95","109.24","2.71","2.90","112.16","108.95","3.21","2014"
"10","Minnesota Timberwolves","W","NW","40","42",".488","2.67","109.41","106.70","2.70","3.10","109.40","106.25","3.15","2014"
"11","Phoenix Suns","W","P","48","34",".585","2.63","110.26","107.54","2.72","3.02","110.35","107.23","3.12","2014"
"12","Toronto Raptors","E","A","48","34",".585","3.24","109.77","106.15","3.62","2.55","109.65","106.76","2.89","2014"
"13","Memphis Grizzlies","W","SW","50","32",".610","1.57","107.12","105.47","1.66","2.17","107.18","104.89","2.29","2014"
"14","Chicago Bulls","E","C","48","34",".585","1.85","103.49","101.40","2.09","1.19","103.12","101.72","1.40","2014"
"15","Washington Wizards","E","SE","44","38",".537","1.27","106.75","105.45","1.30","0.47","106.46","105.99","0.47","2014"
"16","Atlanta Hawks","E","SE","38","44",".463","-0.48","106.71","107.26","-0.56","-0.88","106.74","107.71","-0.97","2014"
"17","Charlotte Bobcats","E","SE","43","39",".524","-0.22","104.31","104.61","-0.29","-0.89","104.04","105.03","-0.99","2014"
"18","New York Knicks","E","A","37","45",".451","-0.79","109.27","109.97","-0.70","-1.40","109.25","110.58","-1.33","2014"
"19","Denver Nuggets","W","NW","36","46",".439","-2.15","106.59","108.79","-2.20","-1.40","106.75","108.17","-1.43","2014"
"20","Brooklyn Nets","E","A","44","38",".537","-1.00","107.42","108.63","-1.21","-1.58","107.36","109.16","-1.80","2014"
"21","New Orleans Pelicans","W","SW","34","48",".415","-2.71","107.98","110.90","-2.92","-1.98","108.18","110.35","-2.16","2014"
"22","Sacramento Kings","W","P","28","54",".341","-2.90","106.22","109.46","-3.24","-2.08","106.39","108.77","-2.37","2014"
"23","Cleveland Cavaliers","E","C","33","49",".402","-3.29","104.95","108.52","-3.56","-3.86","104.92","109.07","-4.16","2014"
"24","Detroit Pistons","E","C","29","53",".354","-3.66","106.60","110.51","-3.92","-4.14","106.66","111.07","-4.41","2014"
"25","Los Angeles Lakers","W","P","27","55",".329","-6.29","104.89","111.01","-6.13","-5.33","105.23","110.38","-5.15","2014"
"26","Boston Celtics","E","A","25","57",".305","-4.46","103.82","108.63","-4.81","-4.98","103.69","109.03","-5.34","2014"
"27","Orlando Magic","E","SE","23","59",".280","-5.44","102.14","108.10","-5.96","-5.88","102.06","108.48","-6.41","2014"
"28","Utah Jazz","W","NW","25","57",".305","-7.17","104.15","112.00","-7.85","-6.27","104.43","111.32","-6.89","2014"
